"Pathway" "ApprovedSymbol"
"nfkappabcanonical" "CHUK"
"nfkappabcanonical" "CYLD"
"nfkappabcanonical" "BIRC2"
"nfkappabcanonical" "IKBKB"
"nfkappabcanonical" "ATM"
"nfkappabcanonical" "NFKB1"
"nfkappabcanonical" "NFKBIA"
"nfkappabcanonical" "RELA"
"nfkappabcanonical" "TNF"
"nfkappabcanonical" "TNFAIP3"
"nfkappabcanonical" "TNFRSF1A"
"nfkappabcanonical" "XPO1"
"nfkappabcanonical" "IKBKG"
"nfkappabcanonical" "TRAF6"
"nfkappabcanonical" "ERC1"
"nfkappabcanonical" "RIPK2"
"nfkappabcanonical" "PRKCA"
"nfkappabcanonical" "SSPO"
"nfkappabcanonical" "UBE2D3"
"nfkappabcanonical" "NOD2"
"nfkappabcanonical" "MALT1"
"nfkappabcanonical" "RAN"
"nfkappabcanonical" "BCL10"
"IL10" "RAD50"
"IL10" "CDKN1A"
"IL10" "CDKN2A"
"IL10" "MAPK14"
"IL10" "CTNNB1"
"IL10" "AKT1"
"IL10" "GSK3B"
"IL10" "IL1A"
"IL10" "MDM2"
"IL10" "MRE11A"
"IL10" "MYC"
"IL10" "NBN"
"IL10" "ATM"
"IL10" "NFKB1"
"IL10" "NFKB2"
"IL10" "BAX"
"IL10" "RELA"
"IL10" "TP53"
"IL10" "PTGS2"
"IL10" "HBP1"
"IL10" "IL6"
"IL10" "PPM1D"
"IL10" "PTGER2"
"IL10" "REL"
"IL10" "RELB"
"il6_7pathway" "RAD50"
"il6_7pathway" "CDKN1A"
"il6_7pathway" "CTNNB1"
"il6_7pathway" "GSK3B"
"il6_7pathway" "APC"
"il6_7pathway" "MRE11A"
"il6_7pathway" "MYC"
"il6_7pathway" "NBN"
"il6_7pathway" "ATM"
"il6_7pathway" "NFKB1"
"il6_7pathway" "NFKB2"
"il6_7pathway" "RELA"
"il6_7pathway" "TP53"
"il6_7pathway" "WNT2"
"il6_7pathway" "DDX58"
"il6_7pathway" "DVL1"
"il6_7pathway" "IL6"
"il6_7pathway" "KL"
"il6_7pathway" "AXIN1"
"il6_7pathway" "PPM1D"
"il6_7pathway" "REL"
"il6_7pathway" "RELB"
"il8cxcr1_pathway" "AKT1"
"il8cxcr1_pathway" "PIK3CG"
"il8cxcr1_pathway" "PRKCG"
"il8cxcr1_pathway" "FGR"
"il8cxcr1_pathway" "HCK"
"il8cxcr1_pathway" "LYN"
"il8cxcr1_pathway" "ARRB2"
"il8cxcr1_pathway" "PRKCA"
"il8cxcr1_pathway" "PDPK1"
"il8cxcr1_pathway" "PLD1"
"il8cxcr1_pathway" "CBL"
"il8cxcr1_pathway" "PIK3R6"
"il8cxcr1_pathway" "DNM1"
"il8cxcr1_pathway" "GNA14"
"il8cxcr1_pathway" "GNA15"
"il8cxcr1_pathway" "GNAI2"
"il8cxcr1_pathway" "GNB1"
"il8cxcr1_pathway" "GNG2"
"il8cxcr1_pathway" "CXCL8"
"il8cxcr1_pathway" "ARRB1"
"il8cxcr1_pathway" "PLCB2"
"il8cxcr1_pathway" "PLCB3"
"il8cxcr1_pathway" "PRKCB"
"il8cxcr1_pathway" "RAB5A"
"il8cxcr1_pathway" "ADRBK1"
"il8cxcr1_pathway" "CXCR1"
"il8cxcr1_pathway" "PRKCE"
"il8cxcr2_pathway" "AKT1"
"il8cxcr2_pathway" "PIK3CG"
"il8cxcr2_pathway" "PPP2CA"
"il8cxcr2_pathway" "PPP2R1A"
"il8cxcr2_pathway" "PRKCG"
"il8cxcr2_pathway" "FGR"
"il8cxcr2_pathway" "HCK"
"il8cxcr2_pathway" "LYN"
"il8cxcr2_pathway" "ARRB2"
"il8cxcr2_pathway" "PRKCA"
"il8cxcr2_pathway" "PDPK1"
"il8cxcr2_pathway" "PLD2"
"il8cxcr2_pathway" "VASP"
"il8cxcr2_pathway" "CBL"
"il8cxcr2_pathway" "PLCB1"
"il8cxcr2_pathway" "ELMO1"
"il8cxcr2_pathway" "PIK3R6"
"il8cxcr2_pathway" "DNM1"
"il8cxcr2_pathway" "DOCK2"
"il8cxcr2_pathway" "GNA14"
"il8cxcr2_pathway" "GNA15"
"il8cxcr2_pathway" "GNAI2"
"il8cxcr2_pathway" "GNB1"
"il8cxcr2_pathway" "GNG2"
"il8cxcr2_pathway" "CXCL8"
"il8cxcr2_pathway" "CXCR2"
"il8cxcr2_pathway" "ARRB1"
"il8cxcr2_pathway" "PLCB2"
"il8cxcr2_pathway" "PLCB3"
"il8cxcr2_pathway" "PRKCB"
"il8cxcr2_pathway" "RAB11A"
"il8cxcr2_pathway" "RAB5A"
"il8cxcr2_pathway" "RAB7A"
"il8cxcr2_pathway" "RAC2"
"mtor_4" "MAPK14"
"mtor_4" "AKT1"
"mtor_4" "MYC"
"mtor_4" "PIK3CA"
"mtor_4" "PIK3R1"
"mtor_4" "PRKCD"
"mtor_4" "BCL2L1"
"mtor_4" "MAP2K4"
"mtor_4" "STAT1"
"mtor_4" "MAP2K6"
"mtor_4" "MAPK11"
"mtor_4" "FOXO1"
"mtor_4" "GAB2"
"mtor_4" "MCL1"
"mtor_4" "CEBPB"
"mtor_4" "HCK"
"mtor_4" "IL6"
"mtor_4" "JAK1"
"mtor_4" "JUN"
"mtor_4" "MITF"
"mtor_4" "RAC1"
"mtor_4" "SOS1"
"mtor_4" "STAT3"
"mtor_4" "TIMP1"
"mtor_4" "HSP90B1"
"mtor_4" "TYK2"
"mtor_4" "VAV1"
"mtor_4" "PIAS3"
"mtor_4" "CEBPD"
"mtor_4" "CRP"
"mtor_4" "PIAS1"
"mtor_4" "FGG"
"mtor_4" "FOS"
"mtor_4" "GAB1"
"mtor_4" "IL6R"
"mtor_4" "IL6ST"
"mtor_4" "IRF1"
"mtor_4" "JAK2"
"mtor_4" "JUNB"
"mtor_4" "LBP"
"mtor_4" "LMO4"
"mtor_4" "PTPN11"
"mtor_4" "PTPRE"
"mtor_4" "TNFSF11"
"mtor_4" "SOCS3"
"mtor_4" "GRB2"
"way_nemo" "RAD50"
"way_nemo" "CHUK"
"way_nemo" "PARP1"
"way_nemo" "MAP3K7IP2"
"way_nemo" "BIRC2"
"way_nemo" "XIAP"
"way_nemo" "IKBKB"
"way_nemo" "MRE11A"
"way_nemo" "NBN"
"way_nemo" "ATM"
"way_nemo" "NFKB1"
"way_nemo" "LRDD"
"way_nemo" "RELA"
"way_nemo" "UBE2N"
"way_nemo" "IKBKG"
"way_nemo" "RIPK1"
"way_nemo" "PIAS4"
"way_nemo" "NR2C2"
"way_nemo" "TRAF6"
"way_nemo" "ERC1"
"NF-kappaB_pathway" "RAD50"
"NF-kappaB_pathway" "CDK2"
"NF-kappaB_pathway" "CDK4"
"NF-kappaB_pathway" "CDK6"
"NF-kappaB_pathway" "CDKN1A"
"NF-kappaB_pathway" "CDKN2A"
"NF-kappaB_pathway" "CHEK1"
"NF-kappaB_pathway" "CHEK2"
"NF-kappaB_pathway" "MAPK14"
"NF-kappaB_pathway" "E2F1"
"NF-kappaB_pathway" "E2F2"
"NF-kappaB_pathway" "RPA4"
"NF-kappaB_pathway" "H2AFX"
"NF-kappaB_pathway" "MDM2"
"NF-kappaB_pathway" "MRE11A"
"NF-kappaB_pathway" "NBN"
"NF-kappaB_pathway" "ATM"
"NF-kappaB_pathway" "ATR"
"NF-kappaB_pathway" "MAP2K3"
"NF-kappaB_pathway" "TAOK1"
"NF-kappaB_pathway" "RB1"
"NF-kappaB_pathway" "CCND1"
"NF-kappaB_pathway" "BCL2"
"NF-kappaB_pathway" "RPA1"
"NF-kappaB_pathway" "RPA2"
"NF-kappaB_pathway" "RPA3"
"NF-kappaB_pathway" "CLSPN"
"NF-kappaB_pathway" "BRCA1"
"NF-kappaB_pathway" "TERF2"
"NF-kappaB_pathway" "TP53"
"NF-kappaB_pathway" "TP53BP1"
"NF-kappaB_pathway" "CDC45L"
"NF-kappaB_pathway" "ATRIP"
"NF-kappaB_pathway" "CCND2"
"NF-kappaB_pathway" "CCNE1"
"NF-kappaB_pathway" "CCNE2"
"NF-kappaB_pathway" "MDC1"
"NF-kappaB_pathway" "CDC25A"
"NF-kappaB_pathway" "CSNK2A1"
"NF-kappaB_pathway" "CSNK2A2"
"NF-kappaB_pathway" "FAM175A"
"NF-kappaB_pathway" "HIST1H2AC"
"NF-kappaB_pathway" "MAP2K6"
"NF-kappaB_pathway" "MAPK11"
"NF-kappaB_pathway" "MAPK12"
"NF-kappaB_pathway" "MAPK13"
"NF-kappaB_pathway" "MAPKAPK2"
"NF-kappaB_pathway" "PML"
"NF-kappaB_pathway" "POT1"
"NF-kappaB_pathway" "RNF8"
"NF-kappaB_pathway" "RNF168"
"NF-kappaB_pathway" "TAOK2"
"NF-kappaB_pathway" "TAOK3"
"NF-kappaB_pathway" "TERF2IP"
"NF-kappaB_pathway" "TOPBP1"
"NF-kappaB_pathway" "UIMC1"
"nfkbpathway" "IL1A"
"nfkbpathway" "STAT1"
"nfkbpathway" "TNF"
"nfkbpathway" "BLVRA"
"nfkbpathway" "BLVRB"
"nfkbpathway" "STAT2"
"nfkbpathway" "STAT4"
"nfkbpathway" "STAT5A"
"nfkbpathway" "STAT5B"
"nfkbpathway" "STAT6"
"nfkbpathway" "HMOX1"
"nfkbpathway" "IL10"
"nfkbpathway" "IL10RA"
"nfkbpathway" "IL10RB"
"nfkbpathway" "IL6"
"nfkbpathway" "JAK1"
"p53" "RAD50"
"p53" "CHEK1"
"p53" "CHEK2"
"p53" "BIRC2"
"p53" "BIRC3"
"p53" "XIAP"
"p53" "IL1A"
"p53" "MRE11A"
"p53" "NBN"
"p53" "ATM"
"p53" "NFKB1"
"p53" "NFKB2"
"p53" "NFKBIA"
"p53" "ATR"
"p53" "BCL2"
"p53" "RELA"
"p53" "TERF2"
"p53" "TNF"
"p53" "TNFRSF1A"
"p53" "CASP8"
"p53" "IKBKG"
"p53" "RIPK1"
"p53" "POT1"
"p53" "TERF2IP"
"p53" "IL6"
"p53" "MAPK10"
"p53" "REL"
"p53" "RELB"
"Regulation_of_p38" "CHUK"
"Regulation_of_p38" "MAPK14"
"Regulation_of_p38" "CYLD"
"Regulation_of_p38" "IKBKB"
"Regulation_of_p38" "MAP3K1"
"Regulation_of_p38" "MAP3K3"
"Regulation_of_p38" "MAP3K5"
"Regulation_of_p38" "ATM"
"Regulation_of_p38" "NFKB1"
"Regulation_of_p38" "NFKB2"
"Regulation_of_p38" "NFKBIA"
"Regulation_of_p38" "PIK3CA"
"Regulation_of_p38" "RELA"
"Regulation_of_p38" "MAP3K7"
"Regulation_of_p38" "TNFAIP3"
"Regulation_of_p38" "IKBKG"
"Regulation_of_p38" "MAP3K14"
"Regulation_of_p38" "CSNK2A1"
"Regulation_of_p38" "ERC1"
"Regulation_of_p38" "RIPK2"
"Regulation_of_p38" "SRC"
"Regulation_of_p38" "SYK"
"Regulation_of_p38" "LCK"
"Regulation_of_p38" "MAP3K10"
"Regulation_of_p38" "MAP3K11"
"Regulation_of_p38" "MAP3K12"
"Regulation_of_p38" "MAP3K13"
"Regulation_of_p38" "MAP3K2"
"Regulation_of_p38" "MAP3K4"
"Regulation_of_p38" "MAP3K6"
"Regulation_of_p38" "MAP3K8"
"Regulation_of_p38" "MAP3K9"
"Regulation_of_p38" "ARRB2"
"Regulation_of_p38" "PRKCA"
"Regulation_of_p38" "RELB"
"Regulation_of_p38" "BCL3"
"repl_senesc" "MAPT"
"repl_senesc" "MAP2K3"
"repl_senesc" "CCND1"
"repl_senesc" "MAP2K6"
"repl_senesc" "MAPK12"
"repl_senesc" "MAPK13"
"repl_senesc" "SNTA1"
"repl_senesc" "EEF2K"
"repl_senesc" "PKN1"
"RIG-I" "CDKN1A"
"RIG-I" "MAPK14"
"RIG-I" "IKBKB"
"RIG-I" "IL1A"
"RIG-I" "MYC"
"RIG-I" "NFKB1"
"RIG-I" "NFKB2"
"RIG-I" "NFKBIA"
"RIG-I" "RELA"
"RIG-I" "MAP3K7"
"RIG-I" "TERT"
"RIG-I" "TGFB1"
"RIG-I" "DNMT1"
"RIG-I" "CEBPB"
"RIG-I" "HBP1"
"RIG-I" "DNMT3B"
"RIG-I" "IL6"
"RIG-I" "REL"
"RIG-I" "RELB"
"SASP" "TAB1"
"SASP" "MAPK14"
"SASP" "MAP3K3"
"SASP" "PAK2"
"SASP" "MAP2K3"
"SASP" "MAP2K4"
"SASP" "RIPK1"
"SASP" "MAP2K6"
"SASP" "MAPK11"
"SASP" "TRAF6"
"SASP" "BLK"
"SASP" "SRC"
"SASP" "YES1"
"SASP" "DUSP16"
"SASP" "DUSP1"
"SASP" "DUSP10"
"SASP" "DUSP8"
"SASP" "FGR"
"SASP" "FYN"
"SASP" "HCK"
"SASP" "IRF6"
"SASP" "LCK"
"SASP" "LYN"
"SASP" "MAP3K12"
"SASP" "PAK1"
"SASP" "PAK3"
"TGF" "RAD50"
"TGF" "CDKN1A"
"TGF" "CDKN2A"
"TGF" "CHEK1"
"TGF" "CHEK2"
"TGF" "MAPK14"
"TGF" "CTNNB1"
"TGF" "AKT1"
"TGF" "GSK3B"
"TGF" "APC"
"TGF" "HRAS"
"TGF" "BIRC2"
"TGF" "BIRC3"
"TGF" "XIAP"
"TGF" "IKBKB"
"TGF" "IL1A"
"TGF" "MDM2"
"TGF" "MRE11A"
"TGF" "MYC"
"TGF" "NBN"
"TGF" "ATM"
"TGF" "NFKB1"
"TGF" "NFKB2"
"TGF" "NFKBIA"
"TGF" "PIK3CA"
"TGF" "ATR"
"TGF" "BAX"
"TGF" "BCL2"
"TGF" "RELA"
"TGF" "MAP3K7"
"TGF" "TERF2"
"TGF" "TERT"
"TGF" "TGFB1"
"TGF" "TNF"
"TGF" "TNFRSF1A"
"TGF" "TP53"
"TGF" "CASP8"
"TGF" "IKBKG"
"TGF" "RIPK1"
"TGF" "POT1"
"TGF" "TERF2IP"
"TGF" "DNMT1"
"TGF" "PTGS2"
"TGF" "SP1"
"TGF" "WNT2"
"TGF" "CRTC1"
"TGF" "PTGES2"
"TGF" "CEBPA"
"TGF" "DDX58"
"TGF" "CRTC2"
"TGF" "DNMT3B"
"TGF" "DVL1"
"TGF" "MTOR"
"TGF" "IL6"
"TGF" "KL"
"TGF" "KRAS"
"TGF" "MAPK10"
"TGF" "NRAS"
"TGF" "AXIN1"
"TGF" "PPM1D"
"TGF" "PTGER2"
"TGF" "REL"
"TGF" "RELB"
"TNF" "MAPK14"
"TNF" "TP53"
"TNF" "EIF4E"
"TNF" "CSNK2A1"
"TNF" "MAPK11"
"TNF" "MAPKAPK2"
"TNF" "ESR1"
"TNF" "RPS6KA4"
